,demand,photovoltaic,wind,ecars
tX623,58387,0,13771,0.58431986
tX624,54197,0,14813,0.47554166
tX625,50928,0,15412,0.34867099
tX626,48931,0,15566,0.19410319
tX627,48014,0,15593,0.10297074
tX628,48329,0,15251,0.04936341
tX629,49271,0,15239,0.02859057
tX630,51925,0,15169,0.02970739
tX631,59335,0,14988,0.11279875
tX632,66175,0,15008,0.27764128
tX633,68066,138,14314,0.52579853
tX634,67553,1032,12860,0.46012955
tX635,68274,2221,12578,0.3473308
tX636,69323,3309,12248,0.27697119
tX637,68822,3721,12240,0.33616261
tX638,68250,3207,11682,0.41255305
tX639,67640,2337,11543,0.46817065
tX640,67050,1292,10540,0.48157248
tX641,66142,291,9090,0.57203484
tX642,68693,11,7886,0.75429975
tX643,69501,0,7686,0.92316283
tX644,67582,0,7423,1
tX645,63622,0,6791,0.9412553
tX646,60399,0,6547,0.76100067
tX647,57896,0,6521,0.58431986
tX648,53741,0,6160,0.47554166
tX649,50302,0,6332,0.34867099
tX650,47897,0,6113,0.19410319
tX651,46744,0,6216,0.10297074
tX652,46927,0,6694,0.04936341
tX653,48376,0,7485,0.02859057
tX654,51544,0,8528,0.02970739
tX655,58842,0,9776,0.11279875
tX656,65909,0,11345,0.27764128
tX657,67905,142,12828,0.52579853
tX658,68286,899,14662,0.46012955
tX659,69412,1893,16597,0.3473308
tX660,70676,2846,18909,0.27697119
tX661,70728,3444,21139,0.33616261
tX662,70546,3300,23184,0.41255305
tX663,69940,2436,24715,0.46817065
tX664,70002,1297,25556,0.48157248
tX665,69995,297,26798,0.57203484
tX666,72601,10,27328,0.75429975
tX667,73057,0,27296,0.92316283
tX668,70852,0,26337,1
tX669,66773,0,26161,0.9412553
tX670,64030,0,25730,0.76100067
tX671,62493,0,24730,0.58431986
tX672,58050,0,23607,0.47554166
tX673,51718,0,22298,0.34867099
tX674,49553,0,21764,0.19410319
tX675,47947,0,21250,0.10297074
tX676,48325,0,20857,0.04936341
tX677,49098,0,20692,0.02859057
tX678,51069,0,20736,0.02970739
tX679,60109,0,21196,0.11279875
tX680,68369,0,21702,0.27764128
tX681,69947,374,21928,0.52579853
tX682,70514,2340,21804,0.46012955
tX683,72034,4193,22086,0.3473308
tX684,73022,5280,21592,0.27697119
tX685,72523,5499,21419,0.33616261
tX686,71514,4715,20114,0.41255305
tX687,70968,3317,18302,0.46817065
tX688,69546,1690,15872,0.48157248
tX689,67644,348,13735,0.57203484
tX690,69390,11,12644,0.75429975
tX691,69947,0,12003,0.92316283
tX692,68023,0,10953,1
tX693,64160,0,10059,0.9412553
tX694,60839,0,9208,0.76100067
tX695,57983,0,8556,0.58431986
tX696,53735,0,7818,0.47554166
tX697,49958,0,6922,0.34867099
tX698,47989,0,6374,0.19410319
tX699,47349,0,5732,0.10297074
tX700,47401,0,5581,0.04936341
tX701,48344,0,5640,0.02859057
tX702,50827,0,5708,0.02970739
tX703,58149,0,5862,0.11279875
tX704,64955,0,5819,0.27764128
tX705,67298,135,6002,0.52579853
tX706,67572,738,6043,0.46012955
tX707,68506,1548,6113,0.3473308
tX708,68994,2234,6164,0.27697119
tX709,68104,2697,5682,0.33616261
tX710,66617,2606,5568,0.41255305
tX711,64956,2100,5226,0.46817065
tX712,63692,1112,4467,0.48157248
tX713,63859,266,3994,0.57203484
tX714,67009,11,3662,0.75429975
tX715,68003,0,3831,0.92316283
tX716,65945,0,4384,1
tX717,61678,0,4697,0.9412553
tX718,58660,0,4952,0.76100067
tX719,57038,0,4939,0.58431986
tX720,53610,0,4956,0.47554166
tX721,49916,0,4967,0.34867099
tX722,47746,0,5058,0.19410319
tX723,46410,0,5513,0.10297074
tX724,45349,0,6034,0.04936341
tX725,45100,0,6501,0.02859057
tX726,44309,0,6569,0.02970739
tX727,44432,0,6309,0.11279875
tX728,47920,0,6065,0.27764128
tX729,52217,150,5845,0.52579853
tX730,55528,759,5700,0.46012955
tX731,56930,1845,5512,0.3473308
tX732,57820,3167,5264,0.27697119
tX733,57266,3934,5098,0.33616261
tX734,55338,4202,5023,0.41255305
tX735,54274,3563,4876,0.46817065
tX736,53275,2032,4770,0.48157248
tX737,53257,522,4564,0.57203484
tX738,57092,20,4755,0.75429975
tX739,58867,0,5230,0.92316283
tX740,56303,0,5651,1
tX741,52749,0,6072,0.9412553
tX742,50433,0,6347,0.76100067
tX743,50447,0,6224,0.58431986
tX744,47832,0,5942,0.47554166
tX745,44970,0,5637,0.34867099
tX746,42588,0,5249,0.19410319
tX747,41419,0,4926,0.10297074
tX748,40711,0,4293,0.04936341
tX749,40349,0,4032,0.02859057
tX750,39572,0,3919,0.02970739
tX751,38404,0,3889,0.11279875
tX752,40428,1,3913,0.27764128
tX753,43542,355,3738,0.52579853
tX754,47178,1770,3503,0.46012955
tX755,49782,3423,3265,0.3473308
tX756,52288,4370,3408,0.27697119
tX757,51713,4737,3405,0.33616261
tX758,49888,4364,3793,0.41255305
tX759,48499,3308,4253,0.46817065
tX760,48068,1883,4606,0.48157248
tX761,48673,439,5289,0.57203484
tX762,52726,15,5957,0.75429975
tX763,55561,0,6403,0.92316283
tX764,54742,0,7125,1
tX765,52377,0,7390,0.9412553
tX766,51032,0,7436,0.76100067
tX767,51666,0,7734,0.58431986
tX768,49470,0,7654,0.47554166
tX769,46855,0,7403,0.34867099
tX770,45200,0,7406,0.19410319
tX771,44114,0,7127,0.10297074
tX772,44358,0,7529,0.04936341
